English Language Name,Code
Afar,aar
Abkhazian,abk
Achinese,ace
Acoli,ach
Adangme,ada
Adyghe; Adygei,ady
Afro-Asiatic (Other),afa
Afrihili,afh
Afrikaans,afr
Ainu,ain
Akan,aka
Akkadian,akk
Albanian,alb
Aleut,ale
Algonquian languages,alg
Southern Altai,alt
Amharic,amh
"English, Old (ca.450-1100)",ang
Angika,anp
Apache languages,apa
Arabic,ara
Aramaic,arc
Aragonese,arg
Armenian,arm
Mapudungun; Mapuche,arn
Arapaho,arp
Artificial (Other),art
Arawak,arw
Assamese,asm
Asturian; Bable,ast
Athapascan languages,ath
Australian languages,aus
Avaric,ava
Avestan,ave
Awadhi,awa
Aymara,aym
Azerbaijani,aze
Banda languages,bad
Bamileke languages,bai
Bashkir,bak
Baluchi,bal
Bambara,bam
Balinese,ban
Basque,baq
Basa,bas
Baltic (Other),bat
Beja,bej
Belarusian,bel
Bemba,bem
Bengali,ben
Berber (Other),ber
Bhojpuri,bho
Bihari,bih
Bikol,bik
Bini; Edo,bin
Bislama,bis
Siksika,bla
Bantu (Other),bnt
Bosnian,bos
Braj,bra
Breton,bre
Batak languages,btk
Buriat,bua
Buginese,bug
Bulgarian,bul
Burmese,bur
Blin; Bilin,byn
Caddo,cad
Central American Indian (Other),cai
Galibi Carib,car
Catalan; Valencian,cat
Caucasian (Other),cau
Cebuano,ceb
Celtic (Other),cel
Chamorro,cha
Chibcha,chb
Chechen,che
Chagatai,chg
Chinese,chi
Chuukese,chk
Mari,chm
Chinook jargon,chn
Choctaw,cho
Chipewyan,chp
Cherokee,chr
Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic,chu
Chuvash,chv
Cheyenne,chy
Chamic languages,cmc
Coptic,cop
Cornish,cor
Corsican,cos
"Creoles and pidgins, English based (Other)",cpe
"Creoles and pidgins, French-based (Other)",cpf
"Creoles and pidgins, Portuguese-based (Other)",cpp
Cree,cre
Crimean Tatar; Crimean Turkish,crh
Creoles and pidgins (Other),crp
Kashubian,csb
Cushitic (Other),cus
Czech,cze
Dakota,dak
Danish,dan
Dargwa,dar
Land Dayak languages,day
Delaware,del
Slave (Athapascan),den
Dogrib,dgr
Dinka,din
Divehi; Dhivehi; Maldivian,div
Dogri,doi
Dravidian (Other),dra
Lower Sorbian,dsb
Duala,dua
"Dutch, Middle (ca.1050-1350)",dum
Dutch; Flemish,dut
Dyula,dyu
Dzongkha,dzo
Efik,efi
Egyptian (Ancient),egy
Ekajuk,eka
Elamite,elx
English,eng
"English, Middle (1100-1500)",enm
Esperanto,epo
Estonian,est
Ewe,ewe
Ewondo,ewo
Fang,fan
Faroese,fao
Fanti,fat
Fijian,fij
Filipino; Pilipino,fil
Finnish,fin
Finno-Ugrian (Other),fiu
Fon,fon
French,fre
"French, Middle (ca.1400-1600)",frm
"French, Old (842-ca.1400)",fro
Northern Frisian,frr
Eastern Frisian,frs
Western Frisian,fry
Fulah,ful
Friulian,fur
Ga,gaa
Gayo,gay
Gbaya,gba
Germanic (Other),gem
Georgian,geo
German,ger
Geez,gez
Gilbertese,gil
Gaelic; Scottish Gaelic,gla
Irish,gle
Galician,glg
Manx,glv
"German, Middle High (ca.1050-1500)",gmh
"German, Old High (ca.750-1050)",goh
Gondi,gon
Gorontalo,gor
Gothic,got
Grebo,grb
"Greek, Ancient (to 1453)",grc
"Greek, Modern (1453-)",gre
Guarani,grn
Swiss German; Alemannic,gsw
Gujarati,guj
Gwich'in,gwi
Haida,hai
Haitian; Haitian Creole,hat
Hausa,hau
Hawaiian,haw
Hebrew,heb
Herero,her
Hiligaynon,hil
Himachali,him
Hindi,hin
Hittite,hit
Hmong,hmn
Hiri Motu,hmo
Upper Sorbian,hsb
Hungarian,hun
Hupa,hup
Iban,iba
Igbo,ibo
Icelandic,ice
Ido,ido
Sichuan Yi,iii
Ijo languages,ijo
Inuktitut,iku
Interlingue,ile
Iloko,ilo
Interlingua (International Auxiliary Language Association),ina
Indic (Other),inc
Indonesian,ind
Indo-European (Other),ine
Ingush,inh
Inupiaq,ipk
Iranian (Other),ira
Iroquoian languages,iro
Italian,ita
Javanese,jav
Lojban,jbo
Japanese,jpn
Judeo-Persian,jpr
Judeo-Arabic,jrb
Kara-Kalpak,kaa
Kabyle,kab
Kachin; Jingpho,kac
Kalaallisut; Greenlandic,kal
Kamba,kam
Kannada,kan
Karen languages,kar
Kashmiri,kas
Kanuri,kau
Kawi,kaw
Kazakh,kaz
Kabardian,kbd
Khasi,kha
Khoisan (Other),khi
Central Khmer,khm
Khotanese,kho
Kikuyu; Gikuyu,kik
Kinyarwanda,kin
Kirghiz; Kyrgyz,kir
Kimbundu,kmb
Konkani,kok
Komi,kom
Kongo,kon
Korean,kor
Kosraean,kos
Kpelle,kpe
Karachay-Balkar,krc
Karelian,krl
Kru languages,kro
Kurukh,kru
Kuanyama; Kwanyama,kua
Kumyk,kum
Kurdish,kur
Kutenai,kut
Ladino,lad
Lahnda,lah
Lamba,lam
Lao,lao
Latin,lat
Latvian,lav
Lezghian,lez
Limburgan; Limburger; Limburgish,lim
Lingala,lin
Lithuanian,lit
Mongo,lol
Lozi,loz
Luxembourgish; Letzeburgesch,ltz
Luba-Lulua,lua
Luba-Katanga,lub
Ganda,lug
Luiseno,lui
Lunda,lun
Luo (Kenya and Tanzania),luo
Lushai,lus
Macedonian,mac
Madurese,mad
Magahi,mag
Marshallese,mah
Maithili,mai
Makasar,mak
Malayalam,mal
Mandingo,man
Maori,mao
Austronesian (Other),map
Marathi,mar
Masai,mas
Malay,may
Moksha,mdf
Mandar,mdr
Mende,men
"Irish, Middle (900-1200)",mga
Mi'kmaq; Micmac,mic
Minangkabau,min
Miscellaneous languages,mis
Mon-Khmer (Other),mkh
Malagasy,mlg
Maltese,mlt
Manchu,mnc
Manipuri,mni
Manobo languages,mno
Mohawk,moh
Moldavian,mol
Mongolian,mon
Mossi,mos
Multiple languages,mul
Munda languages,mun
Creek,mus
Mirandese,mwl
Marwari,mwr
Mayan languages,myn
Erzya,myv
Nahuatl languages,nah
North American Indian,nai
Neapolitan,nap
Nauru,nau
Navajo; Navaho,nav
"Ndebele, South; South Ndebele",nbl
"Ndebele, North; North Ndebele",nde
Ndonga,ndo
"Low German; Low Saxon; German, Low; Saxon, Low",nds
Nepali,nep
Nepal Bhasa; Newari,new
Nias,nia
Niger-Kordofanian (Other),nic
Niuean,niu
"Norwegian Nynorsk; Nynorsk, Norwegian",nno
"Bokmål, Norwegian; Norwegian Bokmål",nob
Nogai,nog
"Norse, Old",non
Norwegian,nor
Pedi; Sepedi; Northern Sotho,nso
Nubian languages,nub
Classical Newari; Old Newari; Classical Nepal Bhasa,nwc
Chichewa; Chewa; Nyanja,nya
Nyamwezi,nym
Nyankole,nyn
Nyoro,nyo
Nzima,nzi
Occitan (post 1500); Provençal,oci
Ojibwa,oji
Oriya,ori
Oromo,orm
Osage,osa
Ossetian; Ossetic,oss
"Turkish, Ottoman (1500-1928)",ota
Otomian languages,oto
Papuan (Other),paa
Pangasinan,pag
Pahlavi,pal
Pampanga,pam
Panjabi; Punjabi,pan
Papiamento,pap
Palauan,pau
"Persian, Old (ca.600-400 B.C.)",peo
Persian,per
Philippine (Other),phi
Phoenician,phn
Pali,pli
Polish,pol
Pohnpeian,pon
Portuguese,por
Prakrit languages,pra
"Provençal, Old (to 1500)",pro
Pushto,pus
Reserved for local use,qaa-qtz
Quechua,que
Rajasthani,raj
Rapanui,rap
Rarotongan; Cook Islands Maori,rar
Romance (Other),roa
Romansh,roh
Romany,rom
Romanian,rum
Rundi,run
Aromanian; Arumanian; Macedo-Romanian,rup
Russian,rus
Sandawe,sad
Sango,sag
Yakut,sah
South American Indian (Other),sai
Salishan languages,sal
Samaritan Aramaic,sam
Sanskrit,san
Sasak,sas
Santali,sat
Serbian,scc
Sicilian,scn
Scots,sco
Croatian,scr
Selkup,sel
Semitic (Other),sem
"Irish, Old (to 900)",sga
Sign Languages,sgn
Shan,shn
Sidamo,sid
Sinhala; Sinhalese,sin
Siouan languages,sio
Sino-Tibetan (Other),sit
Slavic (Other),sla
Slovak,slo
Slovenian,slv
Southern Sami,sma
Northern Sami,sme
Sami languages (Other),smi
Lule Sami,smj
Inari Sami,smn
Samoan,smo
Skolt Sami,sms
Shona,sna
Sindhi,snd
Soninke,snk
Sogdian,sog
Somali,som
Songhai languages,son
"Sotho, Southern",sot
Spanish; Castilian,spa
Sardinian,srd
Sranan Tongo,srn
Serer,srr
Nilo-Saharan (Other),ssa
Swati,ssw
Sukuma,suk
Sundanese,sun
Susu,sus
Sumerian,sux
Swahili,swa
Swedish,swe
Syriac,syr
Tahitian,tah
Tai (Other),tai
Tamil,tam
Tatar,tat
Telugu,tel
Timne,tem
Tereno,ter
Tetum,tet
Tajik,tgk
Tagalog,tgl
Thai,tha
Tibetan,tib
Tigre,tig
Tigrinya,tir
Tiv,tiv
Tokelau,tkl
Klingon; tlhIngan-Hol,tlh
Tlingit,tli
Tamashek,tmh
Tonga (Nyasa),tog
Tonga (Tonga Islands),ton
Tok Pisin,tpi
Tsimshian,tsi
Tswana,tsn
Tsonga,tso
Turkmen,tuk
Tumbuka,tum
Tupi languages,tup
Turkish,tur
Altaic (Other),tut
Tuvalu,tvl
Twi,twi
Tuvinian,tyv
Udmurt,udm
Ugaritic,uga
Uighur; Uyghur,uig
Ukrainian,ukr
Umbundu,umb
Undetermined,und
Urdu,urd
Uzbek,uzb
Vai,vai
Venda,ven
Vietnamese,vie
Volapük,vol
Votic,vot
Wakashan languages,wak
Walamo,wal
Waray,war
Washo,was
Welsh,wel
Sorbian languages,wen
Walloon,wln
Wolof,wol
Kalmyk; Oirat,xal
Xhosa,xho
Yao,yao
Yapese,yap
Yiddish,yid
Yoruba,yor
Yupik languages,ypk
Zapotec,zap
Zenaga,zen
Zhuang; Chuang,zha
Zande languages,znd
Zulu,zul
Zuni,zun
No linguistic content,zxx
N'Ko,nqo
Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki,zza
